Category	despansing unit 	Product Name	Generic / Active Ingredient
Gastrointestinal Health	bottle	Peptiche Gel 200M	Antacid Antiflatulant
Cardiovascular & Blood Health	strip	ATEROZ 40mg	Atorvastatin 40mg
Cardiovascular & Blood Health	strip	ATEROZ 10mg	Atorvastatin 10mg
Cardiovascular & Blood Health	strip	ATEROZ 80mg	Atorvastatin 80mg
Cardiovascular & Blood Health	strip	ATEROZ 20mg	Atorvastatin 20mg
Cardiovascular & Blood Health	strip	Atrova 40mg	Atorvastatin 40mg
Antibiotics & Antimicrobials	strip	Zithromax 500mg of 3 Tab	Azithromycin
Antibiotics & Antimicrobials	bottle	Azithromycin (Oral Liquid) 200 mg/5ml Susp	Azithromycin (Oral Liquid) 200 mg/5ml Susp
Antibiotics & Antimicrobials	pk	azitro 250mg	Azithromycin 250mg of 3 tab
Antibiotics & Antimicrobials	pk	AZITHROMYCIN 500mg tab of 3	AZITHROMYCIN 500mg tab of 3
Antibiotics & Antimicrobials	bottle	Azithromycin Suspn 30ml	Azithromycin Suspn 30ml
Antibiotics & Antimicrobials	bottle	Azithromycin Suspn 15ml	Azithromycin Suspn 15ml
Antibiotics & Antimicrobials	bottle	AZITRO 200MG/5ML	AZITHROMYCIN 200MG/5ML
Antibiotics & Antimicrobials	bottle	AZITRO 200MG/5ML 15ml	AZITHROMYCIN 200MG/5ML, 15ml
Antibiotics & Antimicrobials	bottle	AZITRO 200MG/5ML 30ml	AZITHROMYCIN 200MG/5ML, 30ml
Antibiotics & Antimicrobials	bottle	AZITRO 200MG/5ML 50ml	AZITHROMYCIN 200MG/5ML, 50ml
Antibiotics & Antimicrobials	strip	azbo 30ml	AZITHROMYCIN 200MG/5ML, 300ml
Antibiotics & Antimicrobials	strip	Bactroban Ointment	Bacitracin Ointment
Respiratory & Allergy	tube	Beclojet Inhaler	Beclometasone Dipropionate Inhaler
Respiratory & Allergy	tube	RINODEX 125MCG 30ML NASAL SPRAY	BECLOMETHASONE DIPROPIONATE
Dermatology & Skin Care	tube	benzyl benzoate lotion	benzyl benzoate lotion
Dermatology & Skin Care	tube	Betaderm cream	betamethasone0.05% cream
Dermatology & Skin Care	tube	BETADERM CREAM 15GM	betamethasone0.05% cream
Dermatology & Skin Care	tube	Betaderm Cream 15gm	betamethasone0.05% cream
Dermatology & Skin Care	tube	Bepongel Scalp Soln	Betamethasone Dipropionate
Dermatology & Skin Care	tube	Dermocort Cream 0.05	Betamethasone Dipropionate0.05%
Antibiotics & Antimicrobials	strip	Bilaxten 20mg	Bilastine
Antibiotics & Antimicrobials	strip	Bilaxten 5mg	Bilastine
Gastrointestinal Health	suppository	Bisacodyl Suppository 10mg	Bisacodyl Suppository 10mg
Gastrointestinal Health	suppository	Bisacodyl Suppository 5mg	Bisacodyl Suppository 5mg
Gastrointestinal Health	strip	Bisacodyl Tablet 10mg	Bisacodyl Tablet 10mg
Gastrointestinal Health	strip	Bisacodyl Tablet 5mg	Bisacodyl Tablet 5mg
Respiratory & Allergy	bottle	Rufagin 7.5% 200ml Syrup	Butamirate Citrate
Dermatology & Skin Care	bottle	calamine lotion	Calamine/Zinc oxide (Topical) Lotion
Other	pk	CALCIUM-DENIK OF 20	CALCIUM 1G + VIT D3
Other	strip	Termil-D	Calcium Carbonate+Magnesium Carbonate+Antacid Capsule
Other	strip	Termil- Peppermint	Calcium Carbonate+Magnesium Carbonate+Antacid Capsule
Other	strip	Ideos Chewable	Calcium500mg, Vitamin D3 400IU
Cardiovascular & Blood Health	strip	Coronis 25mg Tab	Carvedilol 25mg
Cardiovascular & Blood Health	strip	Coronis 12.5mg Tab	Carvedilol 12.5mg
Cardiovascular & Blood Health	strip	Coronis 6.25mg Tab	Carvedilol 6.25mg
Other	bottle	Castor oil 60ml	Castor oil 60ml
Antibiotics & Antimicrobials	pk	CEFIXIME 400MG 5CAPS	CEFIXIME 400mg tab
Antibiotics & Antimicrobials	bottle	CEFIXIME FOR ORALSUSP100MG/5ML of 100ml	CEFIXIME FOR ORAL SUSP 100MG/5ML 100ml
Antibiotics & Antimicrobials	bottle	CEFIXIME 100MG/5ML 60ml	CEFIXIME FOR ORAL SUSP 100MG/5ML 60ml
Antibiotics & Antimicrobials	bottle	ceFixime 100mg/5ml oral suspn	CEFIXIME FOR ORAL SUSP 100MG/5ML 60ml
Antibiotics & Antimicrobials	bottle	zeftir 100MG/5ML 60ml	CEFIXIME FOR ORAL SUSP 100MG/5ML 60ml
Respiratory & Allergy	bottle	Cetrizine (Oral Liquid) 5 mg/5ml Sol	Cetirizine (Oral Liquid) 5 mg/5ml Sol
Respiratory & Allergy	strip	Cetrizine 10mg	Cetirizine 10mg
Antibiotics & Antimicrobials	bottle	Chloramphenicol (CAP) AB 1.25% 5ml Suspension	Chloramphenicol (CAP) AB 1.25% 5ml Suspension
Antibiotics & Antimicrobials	strip	chlorhexidine gluconate 0.1%	chlorhexidine gluconate 0.1%
Dermatology & Skin Care	bottle	Clorhexidine Medicated Liquid Soap	chlorhexidine Medicated Liquid Soap
Antibiotics & Antimicrobials	strip	CLARITHROMYCIN 500mg tab	CLARITHROMYCIN 500mg
Respiratory & Allergy	bottle	libitough cough syrup	CHLORPHENIRAMINE+DEXTROMETHORPHAN & PHENYLEPHRINE SYRUP
Other	strip	Choice Oral Contraceptive Pills	Choice Oral Contraceptive Pills
Gastrointestinal Health	strip	Cimetidine 400mg	Cimetidine 400mg
Dermatology & Skin Care	tube	Clear Eye 0.5% 10ml Eye Drop	Ciprofloxacin
Antibiotics & Antimicrobials	tube	Zoxen 1.5ml Eye/Ear Drop	ciprofloxacin 0.3% AND DEXAMETHASON
Antibiotics & Antimicrobials	tube	cipro eye ear drop	CIPROFLOXACIN 0.3% EYE DROPS
Antibiotics & Antimicrobials	tube	CIPRO CON 0.3% EYE DROPS	ciprofloxacin 0.3% EYE DROPS
Antibiotics & Antimicrobials	tube	ciprofloxacin 0.3% AND DEXAMETHASON	ciprofloxacin 0.3% AND DEXAMETHASON
Antibiotics & Antimicrobials	pk	Ciflosin 500MG OF 10 TAB	CIPROFLOXACIN 500MG TAB
Antibiotics & Antimicrobials	bottle	clavulinic acid+ amoxicillin/156mg/5ml 100ml suspn	amoxicillin+ clavulanic acid
Antibiotics & Antimicrobials	bottle	clavulinic acid+ amoxicillin/228mg/5ml 100ml suspn	amoxicillin+ clavulanic acid
Antibiotics & Antimicrobials	bottle	clavulinic acid+ amoxicillin/312mg/5ml 100ml suspn	amoxicillin+ clavulanic acid
Antibiotics & Antimicrobials	bottle	clavulinic acid+ amoxicillin/457mg/5ml 100ml suspn	amoxicillin+ clavulanic acid
Antibiotics & Antimicrobials	tube	T3 Mycin Gel	Clindamycin Gel
Antibiotics & Antimicrobials	tube	T3 Mycin gel 25gm	Clindamycin 1%
Antibiotics & Antimicrobials	tube	T3 Mycin lotion 30ml	Clindamycin 1%
Dermatology & Skin Care	tube	Cutivate 20mg cream	Clobetasol 0.05 % Cream
Dermatology & Skin Care	tube	Cloderm Cream 15gm	Clobetasol Propionate
Other	strip	clomifene 50mg	clomifene 50mg
Cardiovascular & Blood Health	strip	Clopidogrel 75mg	Clopidogrel 75mg
Dermatology & Skin Care	tube	candiocort cream	clotrimazole + hydrocortisone cream
Dermatology & Skin Care	pk	clotrimazole 100 MG Vaginal insert of 6 tab	clotrimazole 100 MG Vaginal insert of 6 tab
Dermatology & Skin Care	tube	clotrimazole Cream 1%	Clotrimazole Cream 1%
Dermatology & Skin Care	tube	clotrimazole Topical Lotion	Clotrimazole Topical Lotion
Dermatology & Skin Care	tube	clotrisan Vaginal insert	Clotrimazole Vaginal Inserts
Antibiotics & Antimicrobials	bottle	Cloxacillin 125mg/ml 100ml	Cloxacillin 125mg/ml 100ml
Antibiotics & Antimicrobials	bottle	Cloxacillin Sodium 125mg/5ml	Cloxacillin Sodium
Antibiotics & Antimicrobials	strip	COTRIMOXAZOLE 240/5ML SUSP	COTRIMOXAZOLE 240/5ML SUSP
Antibiotics & Antimicrobials	strip	Trimol Cotrimoxazole 480mg epharm	Cotrimoxazole 480mg epharm
Antibiotics & Antimicrobials	strip	Trimol Cotrimoxazole 480MG TAB	Cotrimoxazole 480MG TAB
Diabetes & Endocrine Care	strip	Flozip-M ol	Dapagliflozin + Metformin
Respiratory & Allergy	strip	ARIA DES 2.5MG/5ML 150ML SYRUP	DESLORATADINE
Respiratory & Allergy	strip	Deslorat 5mg	DESLORATADINE
Other	pk	Hanna	Desogestrel
Antibiotics & Antimicrobials	ini	DEXAMETASON INJECTION 8MG/2ML	DEXAMETASON INJECTION 8MG/2ML
Dermatology & Skin Care	tube	DEXAMETASONE / ciprofloxacin	DEXAMETASONE / ciprofloxacin
Dermatology & Skin Care	ini	Dexamethasone 4mg/ml inj	Dexamethasone 4mg/ml inj
Dermatology & Skin Care	tube	Dexamethasone 0.1% 5ml Eye Drop	Dexamethasone 0.1% 5ml Eye Drop
Dermatology & Skin Care	tube	FLUORITE EYE DROP SOLN OF 5MLDE	DEXAMETHASONE PHOSPHATE 0.1% + ofloxacin 0.3%
Pain Relief & Anti-Inflammatories	tube	KETIVEL GEL 1.25% 60G	DEXKETOPROFEN TROMETAMOL
Dermatology & Skin Care	tube	Topalex Cream 0.025	Dexamethasone Pivalate
Respiratory & Allergy	bottle	EXEDEX 15MG/5ML SYRUP	DEXTROMETHORPHAN
Respiratory & Allergy	bottle	Dextromethorphan Cough Syrup	DEXTROMETHORPHAN
Diabetes & Endocrine Care	tube	Dexfour 40% 20ml	Dextrose 40% 20ml
Dermatology & Skin Care	tube	DIAPER RASH 50GM CREAM	DIAPER RASH 50GM CREAM
Pain Relief & Anti-Inflammatories	suppository	diclofenac 100mg suppository	diclofenac 100mg suppo
Pain Relief & Anti-Inflammatories	strip	diclofenac 50mg	diclofenac 50mg
Pain Relief & Anti-Inflammatories	strip	diclidol 75mg	diclofenac 75mg
Dermatology & Skin Care	strip	ALMIRAL 50mg Tab	DICLOFENAC DIETHYLAMINE 50
Pain Relief & Anti-Inflammatories	strip	diclofenac gel 30g	diclofenac gel 30g
Pain Relief & Anti-Inflammatories	tube	Voltarol Emulgel	diclofenac gel 30g
Pain Relief & Anti-Inflammatories	strip	Volvic K 50mg	Diclofenac Potassium
Pain Relief & Anti-Inflammatories	suppository	Diclosafe 100mg of 5 Supp	Diclofenac Sodium
Pain Relief & Anti-Inflammatories	tube	Voltaren GEL	diclofenac sodium
Dermatology & Skin Care	tube	relaxo eye ear drop	diclofenac sodium eye drop
Respiratory & Allergy	bottle	Koferyl SYRUP	Diphenhydramine
Other	strip	PRELAM DR 10/10	Doxylamine/Pyridoxine (Oral Pill) 10-10 mg DR T tab
Cardiovascular & Blood Health	strip	Korandil 5mg	Enalapril 5MG
Other	strip	energy multiit & mineral formula	energy multiit & mineral formula
Antibiotics & Antimicrobials	bottle	Erythrocin 125mg/5ml	Erythromycin 125mg/5ml
Antibiotics & Antimicrobials	strip	Erythromycin 250mg/5ml	Erythromycin 250mg/5ml
Antibiotics & Antimicrobials	strip	Erythromycin 500mg tab	Erythromycin 500mg tab
Gastrointestinal Health	strip	Esomepodan 20mg	Esomeprazole 20mg
Gastrointestinal Health	strip	Nexap 20mg	Esomeprazole 20MG
Other	bottle	FERMAX 150ML SYRUP	FERRIC (III) HYDROXIDE POLYMALTOSE 50MG/5ML
Other	strip	Ferrous Sulfate 325mg	Ferrous Sulfate 325mg
Other	bottle	scotts fish oil / 200ml	fish oil
Dermatology & Skin Care	strip	Fluconazole 100 mg Tab	Fluconazole 100 mg Tab
Dermatology & Skin Care	strip	Fluconazole 200 mg of 4 Tab	Fluconazole 200 mg of 4 Tab
Respiratory & Allergy	strip	Flixonase Nasal Spray	Fluticasone Furoate
Other	tube	Formalin 8% Soln, 150ml	Formalin 8% Soln, 150ml
Other	strip	Vitamin C 1000	Herbal and active ingredient
OPHTALMIC drug	tube	Bactigen eye drop	Gentamycine eye drop
OPHTALMIC drug	tube	Gentamycine eye drop	Gentamycine eye drop
Diabetes & Endocrine Care	strip	GL AP 2MG	Glimepiride 2mg
Diabetes & Endocrine Care	tube	GLUCOSE 40% INJ 20ML	GLUCOSE 40% INJ 20ML
Gastrointestinal Health	PK	glycerin Rectal Suppository	glycerin Rectal Suppository
Gastrointestinal Health	bottle	Gripp Heel oral drops	GRIPPE HEEL (LEMON LOZENGES
Gastrointestinal Health	bottle	Gripe Water	Gripe Water
Dermatology & Skin Care	strip	Griseofulvin 125Mg	Griseofulvin 125Mg
Dermatology & Skin Care	strip	Grisen 500mg	Griseofulvin 500mg
Dermatology & Skin Care	strip	Griseofulvin 500mg	Griseofulvin 5000mg
Antibiotics & Antimicrobials	bottle	grisefulvin oral suspension 125mg/5ml	grisefulvin oral suspension 125mg/5ml
Respiratory & Allergy	strip	CLONID 25	HCT 25MG
Other	bottle	Health-1 Fish Oil, 200ml	Health-1 Fish Oil, 200ml
Other	bottle	Healthy Option with multivitamin Fish Oil, 200ml	Healthy Option with multivitamin Fish Oil, 200ml
Cardiovascular & Blood Health	strip	hydrochlorothiazide 25 MG	hydrochlorothiazide 25 MG
Dermatology & Skin Care	tube	AKORTICONE ACETATE cream	HYDROCORTISONE ACETATE
Dermatology & Skin Care	tube	Hydrocortisone Ointment 15gm	Hydrocortisone Ointment 15gm
Dermatology & Skin Care	tube	hydrocortisone Topical cream	hydrocortisone Topical cream
Dermatology & Skin Care	strip	FEUDOLONE 4% CREAM 30GM	HYDROQUINONE 4%
Gastrointestinal Health	strip	Hycosine Hyoscine HCL BROMIDE tab	Hycosine Hyoscine HCL BROMIDE
Gastrointestinal Health	bottle	hyoscine syrup	Hyoscine syrup
Gastrointestinal Health	strip	Divadol 10 mg	Hyoscine10mg
Gastrointestinal Health	strip	Hakalil-Hyoscine10mg	Hyoscine10mg
Gastrointestinal Health	strip	Hyoscine 10mg tab	hyoscine 10mg tab
Pain Relief & Anti-Inflammatories	strip	IBUPEN CHILDRENS 100MG/5ML 100ML	IBUPROFEN
Pain Relief & Anti-Inflammatories	strip	Gofen 100mg/5ml	IBUPROFEN
Pain Relief & Anti-Inflammatories	bottle	Ibufen 100mg/5ml, 100ml Syrup	IBUPROFEN
Pain Relief & Anti-Inflammatories	bottle	Ibuprofen 100Mg/5ML Oral Susp. 100ML	IBUPROFEN
Pain Relief & Anti-Inflammatories	strip	Ibuprofen 600	IBUPROFEN
Pain Relief & Anti-Inflammatories	strip	IBUPROFEN 100MG/5ML	IBUPROFEN
Pain Relief & Anti-Inflammatories	strip	ibu plus syrup	Ibuprofen 100mg & paracetamol 125mg
Pain Relief & Anti-Inflammatories	bottle	Gofen plus	IBUPROFEN 100mg & paracetamol 125mg
Pain Relief & Anti-Inflammatories	strip	Golen 200mg	IBUPROFEN 200
Pain Relief & Anti-Inflammatories	strip	GOETEN 400MG	IBUPROFEN 400
Pain Relief & Anti-Inflammatories	strip	ibu plus Tablet	Ibuprofen 400mg & paracetamol 325mg
Pain Relief & Anti-Inflammatories	bottle	Ibuprofen/paracetamol 100MG/125ML	Ibuprofen/paracetamol 100mg/125ML
Antibiotics & Antimicrobials	suppository	Indocap 100mg suppository	Indomethacin 100mg suppo
Diabetes & Endocrine Care	tube	INSULATARD 100 LU/Ml 10Ml/VIAL	INSULATARD 100 LU/Ml 10Ml/VIAL
Other	strip	Feramax	Iron Supplement
Other	tin	IN FOL VIT B-6 500IU	IRON FUMARATE+VIT B6+VIT B12
Other	strip	Feromon Caps	Iron Folic acid(VITB12)
Dermatology & Skin Care	tube	Traleezole cream	ISOCONAZOL NITRATE & DIFLUCORTOLONE VALERATE
Other	bottle	DEFEND SCALP drops ORAL DROPS	Insect repellent for lice
Dermatology & Skin Care	tube	Ketoconazole 2% Shampoo, 100ml	Ketoconazole 2% Shampoo, 100ml
Dermatology & Skin Care	tube	Ketoconazole 2% Shampoo, 50ml	Ketoconazole 2% Shampoo, 50ml
Dermatology & Skin Care	tube	Ketoconazole topical Cream	Ketoconazole topical Cream
Dermatology & Skin Care	bottle	cancax shampoo	ketoconazole shampoo
Pain Relief & Anti-Inflammatories	strip	ketoprofen	ketoprofen
Respiratory & Allergy	strip	LORIDINE 5mg/5ml	Loratidine Syrup 5mg/5ml
Respiratory & Allergy	strip	LORIDINE 50mg	Loratidine 50mg
Pain Relief & Anti-Inflammatories	inj	Lidocaine 10 mg/ml Injection 2 ml	Lidocaine 10 mg/ml Injection 2 ml
Pain Relief & Anti-Inflammatories	inj	Lidocaine / Adrenaline inj	Lidocaine / Adrenaline inj
Pain Relief & Anti-Inflammatories	inj	Lidocaine inj 1%	lidocaine inj 1%
Gastrointestinal Health	strip	Simethicone Oral Gel (Oral Liquid) 125 mg/5ml Susp	Simethicone (Oral Liquid) 125 mg/5ml Susp
Antibiotics & Antimicrobials	bottle	Sulfamethoxazole + Trimethoprim 480mg 100ML	Sulfamethoxazole + Trimethoprim
Dermatology & Skin Care	tube	Sulphur Ointment 10% 50gm	Sulphur Ointment 10% 50gm
Pain Relief & Anti-Inflammatories	strip	Sumatriptan 50mg	Sumatriptan 50mg
Pain Relief & Anti-Inflammatories	strip	Sumatriptan 100mg	Sumatriptan 100mg
Dermatology & Skin Care	tube	Acnotin 30g Cream	Tretinoin
Dermatology & Skin Care	tube	Tretinoin (Topical) 0.05% Cream	Cream 30gm
Dermatology & Skin Care	tube	Acnotin 0.025% crme	Tretinoin 0.025% cream
Dermatology & Skin Care	tube	augia cream 0.5%	tretinoin 0.5%
Dermatology & Skin Care	tube	acitin 0.025% crme	Tretinoin 0.025% cream
Dermatology & Skin Care	tube	TTC 1%	TTC 1%
Other	ampoule	Vitamin B12 (1ml) Inj	Vitamin B12 (1ml) Inj
Other	strip	Salubus Met	Vildagliptin + Metformin
OPHTALMIC drug	tube	VISOMER-P EYE drop	VISOMER-P EYE drop
Other	bottle	Vitdroo Oral Drop 15ml	Vit D 2800IU/ml
Other	tin	Prenatal Soft gel caps of 150 nature made	VIT-MINERAL+OMEGA 3
Other	strip	Neuroscit	vitamin B 1&6 B12
Other	Sachets	VITAMIN C Sachet	VITAMIN C
Other	bottle	effervescent (VITAMIN C + ZINC) EFFERVESCENT (VITAMIN C + ZINC) EFFERVESCENT OF 20	VITAMIN C + zinc
Other	strip	c boost	VITAMIN C + zinc
Other	tin	VITAMIN D3 50000IU	vitamin d3 50000iu
Other	tablet	d3 colefor 50000	vitamin d3 50000iu
Other	tablet	NAT D3	vitamin d3 50000IU
Other	tablet	vitamin d3 50000iu	vitamin d3 50000iu
Other	bottle	Kidovit D Drops 30ml	Vitamin D3 800IU
Other	bottle	vitamin d3 800iu/ml	Pasta 800iu/ml
Other	strip	VITAMIN C 400mg	VITAMIN C 400mg
Other	strip	VOLTAREN 75mg tab	voltaren 75mg
Dermatology & Skin Care	strip	ESCORT 25mg	ESCORT 25mg
Dermatology & Skin Care	strip	Warlarin 5mg	warfarin 5mg
Respiratory & Allergy	tube	nasal 0.05% vial	XYLOMETAZOLINE 0.05%
Respiratory & Allergy	tube	XYLOMETAZOLINE 0.1% NASAL DROPS 10 ML	XYLOMETAZOLINE 0.1% NASAL DROPS 10 ML
Respiratory & Allergy	bottle	Skytrivin Nasal Drops 0.05%	Xylometazoline
Respiratory & Allergy	bottle	Skytrivin NASAL DROPS 0.05%	Xylometazoline
Dermatology & Skin Care	strip	Zinc Oxide Cream	Zinc Oxide cream
Other	strip	zinc tables	zinc tables
SUPPLEMENTS	tin	CALCIVITA FORTICE OF CAP	CALCIUM 1G
