Category	despansing unit 	Product Name	Generic / Active Ingredient
	bottle 	Broccoff Cough Syrup	Bronchodilator + Mucolytic
	bottle 	Bronchopro   15mg/5ml, 100ml Syrup	Ambroxol Hydrochloride
	bottle 	Cipium  2mg/5ml, 100ml Syrup	Chlorpheniramine
	strip	Claritine  10mg 	Loratadine
	bottle 	Clarityne  5mg/5ml, 100ml Syrup	Loratadine
	strip	Deslora-Denk  5mg 	Desloratadine
	bottle 	Deslorat  2.5mg/5ml, 100ml Syrup	Desloratadine
	bottle 	Dexglo  15mg/5ml, 100ml Syrup	Dextromethorphan
	bottle 	Eascof-D  100ml Syrup (Suger Free)	Dextromethorphan
	bottle 	Eascof-DM  15mg/5ml, 100ml Syrup	Dextromethorphan
	bottle 	Emph-X  2mg/5ml, 100ml Syrup	Chlorphenamine
	strip	Ephasol  5mg  	Prednisolone
	bottle 	Esiresp GT Syrup	Ambroxol + Guaifenesin + Terbutaline
	bottle 	Exedex  15mg/5ml, 125ml Syrup	Dextromethorphan
	pis	Flixisone   Nasal Spray	Fluticasone Furoate
	bottle 	Gusup  100mg/5ml, 100ml Syrup	Guaifenesin
	strip	Ilaxten  20mg 	Bilastine
	bottle 	Ivy-Calm Cough Syrup	Ivy Leaf Extract
	bottle 	Lorid  1mg/ml, 60ml Syrup	Loratadine
	strip	L-Trizyn  5mg  	Levocetirizine
	bottle 	Medofed Compound Syrup	Ephedrine + Guaifenesin + Chlorpheniramine
	bottle 	Mentex Cough Syrup	Diphenhydramine + Dextromethorphan + Pseudoephedrine
	bottle 	Mucosol  250mg/5ml, 120ml Adult Syrup	Carbocisteine
	bottle 	Piriton Expectorant Syrup	Chlorpheniramine + Ammonium Chloride
	bottle 	Prozine  6.25mg/5ml, 100ml Oral Soln	Promethazine
	strip	Remidine  10mg  	Loratadine
	pis	Respiro Inhaler	Salmeterol + Fluticasone Propionate
	puff	Salbutol  Inhaler of 200 Dose	Salbutamol
	bottle 	Sekrol  15mg/5ml,150ml Ped Syrup	Ambroxol
	tube	Skytrivin Nasal Drops	Xylometazoline
	bottle 	Tidilor  5mg/5ml, 100ml Syrup	Loratadine
	strip	Tidilor  10mg 	Loratadine
	bottle 	Yoxsen  2mg/5ml, 100ml Syrup (Sugar Free)	Salbutamol
Gastrointestinal Health	strip	Biscoflex  5mg 	Bisacodyl
	bottle 	Coliza  40mg/ml, 15ml Oral Drops	Simethicone
	strip	Corasil Chewable 	Magnesium Trisilicate + Aluminium Hydroxide
	strip	Dolintol  20mg 	Omeprazole
	ampoule	Eselan  40mg IV inj	Omeprazole
	bottle 	Lactulose Syrup	Lactulose
	strip	Laxin  10mg 	Bisacodyl
	strip	Lax-Tab  5mg 	Bisacodyl
	bottle 	Moxalplus Susp	Antacid + Simethicone
	strip	Nexap  40mg 	Esomeprazole
	bottle 	No Gas  Drops 	Simethicone
	strip	No Gas 	Simethicone
	strip	Olit  20mg 	   
	ampoule	Omenor  40mg IV Inj With Wfi	Omeprazole
	ampoule	(Cspc)Omeprazole Sodium 40mg IV Inj 	Omeprazole Sodium
	strip	Omescot  20mg 	Omeprazole
	strip	Omiz Plus  Caps	Omeprazole + Sodium Bicarbonate
	strip	Opton  20mg 	Esomeprazole
	strip	Opton  40mg 	Esomeprazole
	strip	Pandev  20mg   	Pantoprazole
	strip	Panocer  40mg 	Pantoprazole
	strip	Panto-Denk  20mg  	Pantoprazole
	strip	Panto-Denk 40mg 	Pantoprazole
	strip	Pantoloc  40mg  	Pantoprazole
	bottle 	Prokinin  5mg/5ml, 180ml Oral Suspn	Domperidone
	strip	Pumpinox  40mg  	Esomeprazole
	strip	Regulix  40mg 	Drotaverine Hydrochloride
	bottle 	Relcer Gel	Aluminium Hydroxide + Magnesium Hydroxide + Simethicone
	strip	Risek  20mg 	Omeprazole
	ampoule	Stomam   Inj	Metoclopramide
	bottle 	Stomam  Susp	Metoclopramide
	tin	Topraz  20mg 	Pantoprazole
	tin	Topraz  40mg 	Pantoprazole
	tin	Toprazole  20mg of 15	Pantoprazole
	tin	Toprazole  40mg of 15 	Pantoprazole
	tin	Toprazole  40mg of 30 	Pantoprazole
	tin	Ulcer-X  40mg 	Pantoprazole
	strip	Ulsepan  40mg 	Pantoprazole
	strip	Vesilac 	Bisacodyl
	bottle 	Visco Tab & Liquid	Antacid + Anti-Reflux + Simethicone
	tube	Acretin 30g Cream	Tretinoin
	tube	Akorticone  15gm Cream	Hydrocortisone Acetate
	tube	Azonit-D Cream	Isoconazole Nitrate + Diflucortolone Valerate
	tube	Beprogel Scalp Soln	Betamethasone Dipropionate
	tube	Betacylic  15gm Ointment	Betamethasone
	tube	Betaleb  15gm Cream	Betamethasone
	tube	Betaleb-N Cream	Betamethasone + Neomycin Sulphate
	tube	B-Mycin Cream	Betamethasone Dipropionate + Gentamicin Sulphate
	bottle 	Cala-My Lotion	Calamine + Zinc Oxide
	tube	Candiplas H Cream	Miconazole Nitrate + Hydrocortisone
	tube	Caplofen Therma Gel	Diclofenac Diethylamine + Methylsalicylate + Menthol
	tube	Cloderm  15gm Ointment	Clobetasol Propionate
	tube	Cloderm 15gm Cream	Clobetasole Propionte 0.05%
	tube	Cloderm Scalp Appln	Clobetasol Propionate
	tube	Clotri-Denk  cream	Clotrimazole 
Antibiotics & Antimicrobials	strip	Amoxicillin 500mg	Amoxicillin
Respiratory & Allergy	strip	ACETYL PED 100ML	ACETYL CYSTEINE syrup
Antibiotics & Antimicrobials	strip	acyclovir 400mg tablets	acyclovir 400mg tablets
Antibiotics & Antimicrobials	tube	ACICLOVIR CREAM 5% 15GM	ACICLOVIR CREAM 5% 15GM
Antibiotics & Antimicrobials	strip	acyclovir 200mg	acyclovir 200mg
Antibiotics & Antimicrobials	tube	ACICLOVIR DENIK 200MG	acyclovir 200mg
Dermatology & Skin Care	tube	T3 Ada gel 25gm	Adapalene 0.1%
Other	bottle	Albendazole Susp. 20ml	Albendazole Susp. 20ml
Other	bottle	Albonda susp	Albendazole Susp. 30ml
Other	bottle	Albenda Susp 30ml	Albendazole Susp. 30ml
Other	tablets	Albendazole tablets 400mg	albendazole tablets 400mg
Cardiovascular & Blood Health	strip	UNIBAT XL 10MG	ALFUZOSIN 10MG
Cardiovascular & Blood Health	strip	Xylopim 100mg	Allopurinol 100mg tab
Gastrointestinal Health	bottle	Antagil	alum+mag+sim gel 2000ml sus
Gastrointestinal Health	bottle	Maalox Plus Suspn	Aluminium Hydroxide + Magnesium Hydroxide + Simethicone
Gastrointestinal Health	bottle	Relcer Gel 180M	Aluminium Hydroxide + Magnesium Hydroxide + Simethicone
Respiratory & Allergy	bottle	BRONCHOPHANE 125ML	AMBROXOL ICL 15MG/5ML
Respiratory & Allergy	bottle	BRONCHOPHANE 250ML/5ML 100ML SYRUP	AMBROXOL ICL 15MG/5ML
Respiratory & Allergy	bottle	MEDOVENT 15MG/5ML 150ML SYRUP	AMBROXOL HYDROCHLORIDE 15MG/5ML 150ML
Pain Relief & Anti-Inflammatories	strip	amitriptyline 25mg	amitriptyline 25mg
Cardiovascular & Blood Health	strip	Amlodipine 5mg	Amlodipine 5mg
Cardiovascular & Blood Health	strip	Lotvan 10/160	Amlodipine/Valsartan 10/160
Cardiovascular & Blood Health	strip	Lotvan 5/160	Amlodipine/Valsartan 5/160
Antibiotics & Antimicrobials	bottle	AMOKLAVIN BID 228MG/5ML SUP	amoxicillin+clavulanic acid
